0,1,2,3,4,5,6,7,8,9,10,11,12,13
aborts,boarts,tabors,,,,,,,,,,,
abortus,rubatos,tabours,,,,,,,,,,,
abortuses,saboteurs,,,,,,,,,,,,
abounds,bausond,,,,,,,,,,,,
about-face,face-about,,,,,,,,,,,,
abr,arb,,,,,,,,,,,,
abr.,bar.,,,,,,,,,,,,
Abra,Arab,,,,,,,,,,,,
abrades,abrased,,,,,,,,,,,,
abraid,baidar,,,,,,,,,,,,
Abramis,Arabism,,,,,,,,,,,,
Abramo,Abroma,,,,,,,,,,,,
abranchiate,antebrachia,,,,,,,,,,,,
abrasax,abraxas,,,,,,,,,,,,
abrasing,bargains,,,,,,,,,,,,
abrasions,anabrosis,,,,,,,,,,,,
abreact,bearcat,bractea,cabaret,,,,,,,,,,
abreacted,acerbated,,,,,,,,,,,,
abreacting,acerbating,crabeating,,,,,,,,,,,
abreactions,craniotabes,,,,,,,,,,,,
abreacts,bearcats,cabarets,cabresta,scabrate,,,,,,,,,
abreed,bardee,beader,beared,bedare,,,,,,,,,
abrege,barege,bargee,,,,,,,,,,,
abreption,preobtain,,,,,,,,,,,,
abret,baret,bater,berat,,,,,,,,,,
abricot,cabrito,,,,,,,,,,,,
abridge,brigade,,,,,,,,,,,,
abridged,brigaded,,,,,,,,,,,,
abridges,brigades,,,,,,,,,,,,
abridging,brigading,,,,,,,,,,,,
abrim,birma,mbira,,,,,,,,,,,
abrin,bairn,brain,,,,,,,,,,,
abrine,berain,,,,,,,,,,,,
abris,baris,brisa,,,,,,,,,,,
abristle,balister,blastier,librates,,,,,,,,,,
abrogated,goatbeard,,,,,,,,,,,,
Abroms,Ambros,,,,,,,,,,,,
abrood,dobrao,doorba,,,,,,,,,,,
abrook,baroko,,,,,,,,,,,,
abrotine,baritone,obtainer,reobtain,taborine,,,,,,,,,
ABS,BAS,BSA,SBA,,,,,,,,,,
abscise,ecbasis,scabies,sebasic,,,,,,,,,,
abscises,abscisse,,,,,,,,,,,,
abscisins,abscissin,,,,,,,,,,,,
abseiled,beladies,,,,,,,,,,,,
absent,basnet,basten,,,,,,,,,,,
absenter,reabsent,,,,,,,,,,,,
absenters,steenbras,,,,,,,,,,,,
absentia,basanite,,,,,,,,,,,,
absinthol,biathlons,,,,,,,,,,,,
absis,basis,bassi,isbas,,,,,,,,,,
absit,baits,basti,tabis,,,,,,,,,,
absolent,albeston,notables,stonable,,,,,,,,,,
absolver,servolab,,,,,,,,,,,,
absorber,reabsorb,,,,,,,,,,,,
absorbers,reabsorbs,,,,,,,,,,,,
absorpt,barpost,,,,,,,,,,,,
absorption,probations,saprobiont,,,,,,,,,,,
abstained,bastinade,,,,,,,,,,,,
abstains,inbassat,,,,,,,,,,,,
abstr,brast,brats,,,,,,,,,,,
abstracter,reabstract,,,,,,,,,,,,
abstracters,reabstracts,,,,,,,,,,,,
abstrude,daubster,subtread,,,,,,,,,,,
abstrusest,substrates,,,,,,,,,,,,
absvolt,abvolts,,,,,,,,,,,,
abthain,habitan,,,,,,,,,,,,
abtruse,arbutes,bursate,surbate,,,,,,,,,,
abulic,baculi,,,,,,,,,,,,
Abury,Aubry,,,,,,,,,,,,
aburst,arbust,,,,,,,,,,,,
aburton,tubaron,,,,,,,,,,,,
abuse,beaus,,,,,,,,,,,,
abused,daubes,,,,,,,,,,,,
abuser,bursae,busera,,,,,,,,,,,
abusers,rubasse,surbase,,,,,,,,,,,
abuses,subsea,,,,,,,,,,,,
abush,habus,shuba,subah,,,,,,,,,,
abut,buat,tabu,,,,,,,,,,,
abuts,tabus,tsuba,tubas,,,,,,,,,,
abutter,batture,,,,,,,,,,,,
ac-,a-c,,,,,,,,,,,,
acacin,anicca,,,,,,,,,,,,
academies,academise,,,,,,,,,,,,
academist,acetamids,,,,,,,,,,,,
academite,acetamide,emaciated,,,,,,,,,,,
Acadie,Adicea,,,,,,,,,,,,
acaleph,acephal,cephala,halpace,,,,,,,,,,
Acalepha,Acephala,,,,,,,,,,,,
Acalephae,Apalachee,,,,,,,,,,,,
acalephan,acephalan,,,,,,,,,,,,
acalephoid,cephalodia,,,,,,,,,,,,
Acanthia,Achatina,,,,,,,,,,,,
acanthial,calathian,,,,,,,,,,,,
acanthin,chinanta,,,,,,,,,,,,
acara,araca,,,,,,,,,,,,
acarari,aracari,,,,,,,,,,,,
acardite,radicate,,,,,,,,,,,,
acarid,cardia,radiac,,,,,,,,,,,
Acarida,Arcadia,,,,,,,,,,,,
acaridans,arcadians,,,,,,,,,,,,
acarids,ascarid,cardias,,,,,,,,,,,
Acarina,Acrania,,,,,,,,,,,,
acarine,acraein,arecain,carinae,,,,,,,,,,
acarines,sarcinae,,,,,,,,,,,,
Acastus,Astacus,,,,,,,,,,,,
acate,aceta,,,,,,,,,,,,
acater,arcate,carate,cerata,,,,,,,,,,
acatery,acetary,,,,,,,,,,,,
acates,casate,sacate,,,,,,,,,,,
acatholic,chaotical,,,,,,,,,,,,
ACAWS,AWACS,,,,,,,,,,,,
ACC,CAC,CCA,,,,,,,,,,,
acce,cace,ceca,,,,,,,,,,,
acceding,accinged,,,,,,,,,,,,
accel,cecal,,,,,,,,,,,,
accelerator,retrocaecal,,,,,,,,,,,,
accensed,cadences,,,,,,,,,,,,
accension,canciones,conisance,,,,,,,,,,,
accensor,consacre,,,,,,,,,,,,
accepter,reaccept,,,,,,,,,,,,
accepters,reaccepts,,,,,,,,,,,,
acception,peccation,,,,,,,,,,,,
accessioned,deaccession,,,,,,,,,,,,
accessioner,reaccession,,,,,,,,,,,,
accessit,ascetics,,,,,,,,,,,,
accessorii,isocracies,,,,,,,,,,,,
accidents,desiccant,,,,,,,,,,,,
accipter,practice,,,,,,,,,,,,
accise,caseic,,,,,,,,,,,,
accite,acetic,,,,,,,,,,,,
acclaimer,reacclaim,,,,,,,,,,,,
acclimatiser,cameralistic,,,,,,,,,,,,
acclinate,analectic,calcinate,,,,,,,,,,,
accoil,calico,,,,,,,,,,,,
accoll,laccol,,,,,,,,,,,,
accomplisher,reaccomplish,,,,,,,,,,,,
accorder,reaccord,,,,,,,,,,,,
accorders,scorecard,,,,,,,,,,,,
accost,coacts,,,,,,,,,,,,
accounted,uncoacted,,,,,,,,,,,,
accounter,reaccount,,,,,,,,,,,,
accourt,crocuta,,,,,,,,,,,,
accouter,accoutre,,,,,,,,,,,,
accouterment,accoutrement,,,,,,,,,,,,
accouterments,accoutrements,,,,,,,,,,,,
accouters,accoutres,acusector,coruscate,,,,,,,,,,
accretion,anorectic,,,,,,,,,,,,
accrual,caracul,carucal,,,,,,,,,,,
accruals,caraculs,saccular,,,,,,,,,,,
accrue,curace,,,,,,,,,,,,
accrued,cardecu,,,,,,,,,,,,
accruer,accurre,,,,,,,,,,,,
accrues,accurse,accuser,,,,,,,,,,,
ACCS,ASCC,CCSA,SCCA,,,,,,,,,,
ACCT,CCTA,,,,,,,,,,,,
accts,stacc,,,,,,,,,,,,
accur,cacur,,,,,,,,,,,,
accurate,carucate,,,,,,,,,,,,
accusable,subcaecal,,,,,,,,,,,,
accusation,anacoustic,,,,,,,,,,,,
accuse,cuecas,,,,,,,,,,,,
accused,succade,,,,,,,,,,,,
ACD,ADC,CAD,CDA,DAC,DCA,,,,,,,,
ACE,AEC,CAE,CEA,ECA,,,,,,,,,
aced,cade,,,,,,,,,,,,
acemila,camaile,camelia,,,,,,,,,,,
acentrous,courantes,courtesan,nectarous,outrances,,,,,,,,,
acephalist,caliphates,,,,,,,,,,,,
acepots,capotes,scopate,toecaps,,,,,,,,,,
Acer,Acre,Arce,,,,,,,,,,,
Aceraceae,Arecaceae,,,,,,,,,,,,
aceraceous,arecaceous,,,,,,,,,,,,
acerb,caber,cabre,,,,,,,,,,,
acerber,cerebra,rebrace,,,,,,,,,,,
acerbic,breccia,,,,,,,,,,,,
acerbities,basicerite,,,,,,,,,,,,
acerbly,cryable,,,,,,,,,,,,
acerdol,caroled,coraled,,,,,,,,,,,
acerin,carien,carnie,cearin,,,,,,,,,,
acerli,eclair,erical,lacier,,,,,,,,,,
acerous,carouse,,,,,,,,,,,,
acerra,arrace,,,,,,,,,,,,
acers,arces,cares,carse,caser,ceras,escar,races,sacre,scare,scrae,serac,,
acerval,caravel,lavacre,,,,,,,,,,,
acervate,revacate,,,,,,,,,,,,
acervation,vacationer,,,,,,,,,,,,
acervuline,avirulence,,,,,,,,,,,,
aces,aesc,esca,,,,,,,,,,,
acescents,ascescent,,,,,,,,,,,,
acetal,acetla,,,,,,,,,,,,
acetaldol,allocated,,,,,,,,,,,,
acetals,lactase,stalace,,,,,,,,,,,
acetamido,coadamite,,,,,,,,,,,,
acetaminol,noematical,,,,,,,,,,,,
acetanilid,laciniated,teniacidal,,,,,,,,,,,
acetanion,antoecian,,,,,,,,,,,,
acetars,carates,rasceta,sacrate,,,,,,,,,,
acetation,itaconate,,,,,,,,,,,,
acetified,edificate,,,,,,,,,,,,
acetylid,diacetyl,,,,,,,,,,,,
acetyls,caselty,scytale,,,,,,,,,,,
acetin,actine,anetic,centai,enatic,,,,,,,,,
acetins,casinet,cineast,,,,,,,,,,,
acetmethylanilide,methylacetanilide,,,,,,,,,,,,
acetoin,aconite,anoetic,antoeci,,,,,,,,,,
acetol,colate,locate,,,,,,,,,,,
acetone,oceanet,,,,,,,,,,,,
acetones,notecase,,,,,,,,,,,,
acetonuria,aeronautic,,,,,,,,,,,,
acetopyrin,capernoity,,,,,,,,,,,,
acetose,coatees,,,,,,,,,,,,
acetous,actuose,catouse,outcase,,,,,,,,,,
acetoxim,toxaemic,,,,,,,,,,,,
acetum,macute,mucate,tecuma,,,,,,,,,,
aceturic,cicurate,cruciate,,,,,,,,,,,
ACF,AFC,CAF,CFA,FCA,,,,,,,,,
ACH,CHA,HAC,,,,,,,,,,,
Achan,Ancha,,,,,,,,,,,,
achar,arach,,,,,,,,,,,,
achate,acheat,chaeta,,,,,,,,,,,
achatour,racahout,,,,,,,,,,,,
ache,each,haec,,,,,,,,,,,
acheer,achree,areche,cheare,,,,,,,,,,
achenes,casheen,enchase,,,,,,,,,,,
acher,arche,chare,echar,rache,reach,,,,,,,,
achete,eatche,teache,thecae,,,,,,,,,,
achy,chay,,,,,,,,,,,,
achier,cahier,,,,,,,,,,,,
achiest,aitches,,,,,,,,,,,,
achiever,chivaree,,,,,,,,,,,,
achievers,chivarees,,,,,,,,,,,,
achime,haemic,,,,,,,,,,,,
achira,archai,,,,,,,,,,,,
achirite,hetairic,hieratic,,,,,,,,,,,
acholia,alochia,,,,,,,,,,,,
acholic,chacoli,,,,,,,,,,,,
achondrite,ditrochean,ordanchite,,,,,,,,,,,
achor,corah,orach,,,,,,,,,,,
achordate,octahedra,,,,,,,,,,,,
achroite,theorica,,,,,,,,,,,,
achromatin,chariotman,machinator,,,,,,,,,,,
achromatinic,chromatician,,,,,,,,,,,,
achromats,trachomas,,,,,,,,,,,,
achronical,acronichal,,,,,,,,,,,,
achronism,anorchism,harmonics,omniarchs,,,,,,,,,,
achtel,chalet,thecal,,,,,,,,,,,
achter,charet,hectar,rachet,,,,,,,,,,
acy,cay,,,,,,,,,,,,
aciculated,claudicate,,,,,,,,,,,,
acid,cadi,caid,,,,,,,,,,,
acider,caried,ericad,,,,,,,,,,,
acidyl,acidly,,,,,,,,,,,,
acidimeter,mediatrice,,,,,,,,,,,,
acidity,adicity,,,,,,,,,,,,
acidities,ideaistic,,,,,,,,,,,,
acidometry,cytioderma,medicatory,radiectomy,,,,,,,,,,
acidophil,haploidic,,,,,,,,,,,,
acidophilous,aphidicolous,,,,,,,,,,,,
acids,cadis,caids,sadic,,,,,,,,,,
acidulates,actualised,,,,,,,,,,,,
acier,aeric,areic,ceria,craie,,,,,,,,,
acierage,agacerie,,,,,,,,,,,,
Acieral,Alarice,,,,,,,,,,,,
acierated,eradicate,,,,,,,,,,,,
acies,saice,,,,,,,,,,,,
acyetic,caecity,,,,,,,,,,,,
acylates,catalyse,staylace,,,,,,,,,,,
acylating,nyctalgia,,,,,,,,,,,,
acylogen,aglycone,gynaecol,,,,,,,,,,,
acyls,aclys,clays,scaly,,,,,,,,,,
acinar,arnica,narica,,,,,,,,,,,
acinetiform,rifacimento,,,,,,,,,,,,
acini,ician,,,,,,,,,,,,
acipenserid,presidencia,,,,,,,,,,,,
ACK,AKC,,,,,,,,,,,,
ackey,cakey,,,,,,,,,,,,
acknew,wacken,,,,,,,,,,,,
ACL,ALC,LAC,LCA,,,,,,,,,,
aclastic,calastic,,,,,,,,,,,,
acle,alce,lace,,,,,,,,,,,
acleistous,ossiculate,,,,,,,,,,,,
aclinal,ancilla,,,,,,,,,,,,
ACLS,CALS,,,,,,,,,,,,
ACLU,UCLA,,,,,,,,,,,,
ACM,AMC,CAM,CMA,MAC,MCA,,,,,,,,
acmes,cames,maces,,,,,,,,,,,
acmite,meatic,mecati,micate,,,,,,,,,,
acne,ance,cane,,,,,,,,,,,
acned,caned,dance,decan,,,,,,,,,,
acnemia,anaemic,,,,,,,,,,,,
acnes,canes,scena,,,,,,,,,,,
acnodal,calando,canadol,locanda,,,,,,,,,,
acnode,canoed,,,,,,,,,,,,
acnodes,deacons,,,,,,,,,,,,
acoasm,ascoma,,,,,,,,,,,,
ACOF,FOAC,,,,,,,,,,,,
acoin,conia,oncia,,,,,,,,,,,
acoine,aeonic,caoine,,,,,,,,,,,
Acol,Alco,,,,,,,,,,,,
acold,codal,,,,,,,,,,,,
acone,canoe,ocean,,,,,,,,,,,
aconic,cocain,,,,,,,,,,,,
aconin,canion,,,,,,,,,,,,
aconine,anconei,,,,,,,,,,,,
aconital,actional,,,,,,,,,,,,
aconites,actiones,canoeist,sonicate,,,,,,,,,,
aconitic,cationic,itaconic,,,,,,,,,,,
aconitin,inaction,intonaci,nicotian,nicotina,,,,,,,,,
aconitums,unsomatic,,,,,,,,,,,,
acop,capo,copa,,,,,,,,,,,
acopon,poonac,,,,,,,,,,,,
acorn,acron,ancor,coran,narco,racon,,,,,,,,
acorned,dracone,,,,,,,,,,,,
acorns,narcos,racons,,,,,,,,,,,
acosmist,massicot,somatics,,,,,,,,,,,
acost,actos,catso,coast,tacos,tacso,tasco,,,,,,,
acouasm,acousma,,,,,,,,,,,,
acounter,cornuate,courante,cuneator,outrance,,,,,,,,,
acoup,caupo,,,,,,,,,,,,
acoustoelectric,electroacoustic,,,,,,,,,,,,
ACP,APC,CAP,CPA,PAC,PCA,,,,,,,,
acquest,casquet,,,,,,,,,,,,
acquist,acquits,,,,,,,,,,,,
acrasin,arnicas,carinas,,,,,,,,,,,
acrasins,sarcinas,,,,,,,,,,,,
acratia,cataria,,,,,,,,,,,,
acreages,gearcase,,,,,,,,,,,,
acream,camera,,,,,,,,,,,,
acred,arced,cader,cadre,cared,cread,creda,raced,,,,,,
acremen,menacer,,,,,,,,,,,,
a-cry,cary-,,,,,,,,,,,,
acrid,carid,daric,,,,,,,,,,,
acridan,craniad,,,,,,,,,,,,
acridane,caridean,radiance,,,,,,,,,,,
acrider,carried,,,,,,,,,,,,
acridid,cidarid,,,,,,,,,,,,
acridyl,acridly,,,,,,,,,,,,
acridonium,dicoumarin,,,,,,,,,,,,
acryl,cryal,,,,,,,,,,,,
acrimonies,anisomeric,,,,,,,,,,,,
acrimonious,isocoumarin,,,,,,,,,,,,
Acrita,Arctia,,,,,,,,,,,,
acritan,anticar,arctian,,,,,,,,,,,
acrite,tercia,triace,tricae,,,,,,,,,,
acrity,carity,,,,,,,,,,,,
Acroclinium,Alcicornium,,,,,,,,,,,,
acrogen,cornage,,,,,,,,,,,,
acrolein,arecolin,colinear,creolian,,,,,,,,,,
acroleins,carolines,censorial,sarcoline,,,,,,,,,,
acroliths,choralist,,,,,,,,,,,,
acromia,amoraic,,,,,,,,,,,,
acromion,cimaroon,morocain,,,,,,,,,,,
acronal,ancoral,,,,,,,,,,,,
acronic,caronic,,,,,,,,,,,,
acronym,romancy,,,,,,,,,,,,
acronyms,socmanry,,,,,,,,,,,,
acrose,arcose,coarse,rosace,,,,,,,,,,
acrosomes,sarcosome,,,,,,,,,,,,
across,oscars,,,,,,,,,,,,
acrostic,sarcotic,,,,,,,,,,,,
acrostichal,charcoalist,,,,,,,,,,,,
acrostolion,colorations,,,,,,,,,,,,
acroter,reactor,,,,,,,,,,,,
acrotic,carotic,,,,,,,,,,,,
acrotism,rotacism,,,,,,,,,,,,
acrotisms,ostracism,,,,,,,,,,,,
acrotrophic,prothoracic,,,,,,,,,,,,
ACRV,RAVC,,,,,,,,,,,,
ACS,ASC,CAS,CSA,SAC,SCA,,,,,,,,
ACSE,CASE,ECSA,ESAC,,,,,,,,,,
ACSU,CASU,USAC,USCA,,,,,,,,,,
ACT,ATC,CAT,CTA,TAC,TCA,,,,,,,,
acted,ectad,,,,,,,,,,,,
actifier,artifice,,,,,,,,,,,,
actin,antic,inact,,,,,,,,,,,
actinal,alantic,antical,,,,,,,,,,,
actinally,antically,,,,,,,,,,,,
acting,cating,,,,,,,,,,,,
actings,casting,,,,,,,,,,,,
actinias,antiscia,,,,,,,,,,,,
actinical,anaclitic,,,,,,,,,,,,
actinide,ctenidia,diacetin,diactine,indicate,,,,,,,,,
actinides,andesitic,dianetics,indicates,,,,,,,,,,
actiniform,naticiform,,,,,,,,,,,,
actinine,naticine,,,,,,,,,,,,
actinism,manistic,,,,,,,,,,,,
actinium,unciatim,,,,,,,,,,,,
actinogram,morganatic,,,,,,,,,,,,
actinoid,diatonic,naticoid,,,,,,,,,,,
actinon,cantino,cantion,contain,,,,,,,,,,
actinons,canonist,contains,sanction,santonic,sonantic,,,,,,,,
actinopteran,precantation,,,,,,,,,,,,
actinost,oscitant,tactions,,,,,,,,,,,
actins,antics,incast,nastic,,,,,,,,,,
actinula,nautical,,,,,,,,,,,,
action,atonic,cation,,,,,,,,,,,
actioner,anerotic,anoretic,canotier,ceration,cortinae,reaction,,,,,,,
actionist,citations,,,,,,,,,,,,
actionless,coastlines,,,,,,,,,,,,
actions,atonics,cations,,,,,,,,,,,
activable,biclavate,,,,,,,,,,,,
activate,cavitate,,,,,,,,,,,,
activated,cavitated,,,,,,,,,,,,
activates,cavitates,,,,,,,,,,,,
activating,cavitating,,,,,,,,,,,,
activation,cavitation,,,,,,,,,,,,
activations,cavitations,vacationist,,,,,,,,,,,
actless,castles,,,,,,,,,,,,
actomyosin,inocystoma,,,,,,,,,,,,
actory,octary,,,,,,,,,,,,
Actoridae,Arctoidea,,,,,,,,,,,,
actorish,chariots,haricots,,,,,,,,,,,
actors,ostrca,scrota,tarocs,,,,,,,,,,
actorship,strophaic,,,,,,,,,,,,
ACTPU,ACTUP,,,,,,,,,,,,
actress,casters,recasts,,,,,,,,,,,
ACTS,SCAT,TASC,TCAS,,,,,,,,,,
actuals,scatula,,,,,,,,,,,,
actuary,auctary,,,,,,,,,,,,
actuate,acutate,,,,,,,,,,,,
actuator,autocrat,,,,,,,,,,,,
actuators,autocrats,,,,,,,,,,,,
actuator's,autocrat's,,,,,,,,,,,,
acture,acuter,cauter,curate,,,,,,,,,,
actus,scaut,scuta,,,,,,,,,,,
ACU,AUC,CAU,CUA,,,,,,,,,,
Acuan,Aucan,,,,,,,,,,,,
acuchi,cuchia,,,,,,,,,,,,
acuerdos,caroused,,,,,,,,,,,,
acumen,cueman,,,,,,,,,,,,
acuminose,mniaceous,,,,,,,,,,,,
acupress,scaupers,,,,,,,,,,,,
acutely,cytulae,,,,,,,,,,,,
acutenaculum,unaccumulate,,,,,,,,,,,,
acuteness,encaustes,,,,,,,,,,,,
acutes,cuesta,,,,,,,,,,,,
acutest,scutate,,,,,,,,,,,,
acutorsion,octonarius,,,,,,,,,,,,
ACV,AVC,CAV,CVA,VAC,,,,,,,,,
